"","log prob"
"138th running of the kentucky derby",-7.56441135095967
"3rd season of one tree hill",-7.56441135095967
"a chance to win a prize",-7.56441135095967
"a couple of days ago and",-7.27672927850789
"a couple of years ago she",-7.27672927850789
"a difference in the lives of",-7.56441135095967
"a father can do for his",-7.56441135095967
"a feeling that is going to",-7.56441135095967
"a few of the things i",-7.56441135095967
"a force to be reckoned with",-7.05358572719368
"a friend is someone who knows",-7.56441135095967
"a good friend of mine who",-7.56441135095967
"a good idea at the time",-7.27672927850789
"a good way to start the",-7.27672927850789
"a good weekend was had by",-7.56441135095967
"a great time working on the",-7.56441135095967
"a great way to start off",-7.56441135095967
"a large skillet over medium heat",-7.05358572719368
"a light at the end of",-7.56441135095967
"a link to your blog post",-7.56441135095967
"a look at some of the",-6.87126417039972
"a lot of catching up to",-7.56441135095967
"a lot of getting used to",-7.56441135095967
"a lot of it has to",-7.56441135095967
"a lot of people come to",-7.56441135095967
"a lot of time and energy",-7.56441135095967
"a lot of work to do",-6.87126417039972
"a lot to be happy about",-7.56441135095967
"a man and a woman and",-7.56441135095967
"a once in a lifetime opportunity",-7.56441135095967
"a special place in my heart",-7.27672927850789
"a special thank you to the",-7.56441135095967
"a time there was a girl",-7.56441135095967
"a tip of the hat to",-7.56441135095967
"a year and a half ago",-7.27672927850789
"a year and a half later",-7.56441135095967
"about tomorrow for tomorrow will be",-7.56441135095967
"about what needs to be done",-7.56441135095967
"about you and still loves you",-7.56441135095967
"accept the things i cannot change",-7.56441135095967
"act like a lady think like",-7.56441135095967
"after a long day at work",-7.56441135095967
"after an hour and a half",-7.56441135095967
"alexander and the terrible horrible no",-7.56441135095967
"all about you and still loves",-7.56441135095967
"all i can do is sit",-7.56441135095967
"all i can think about is",-7.27672927850789
"all i can think is my",-7.56441135095967
"all i could do to get",-7.56441135095967
"all i have to do is",-7.27672927850789
"all i want to do is",-6.58358209794794
"all is right with the world",-7.56441135095967
"all know what i'm talking about",-7.56441135095967
"all of the moms out there",-7.56441135095967
"all the days of her life",-7.56441135095967
"all the help we can get",-7.56441135095967
"all the way back to the",-7.56441135095967
"all the way to the end",-7.27672927850789
"all you have to do is",-6.02396631001252
"all you need is a little",-7.56441135095967
"all you need to do is",-6.46579906229156
"am i the only one who",-5.95497343852557
"am now a huge fan of",-7.56441135095967
"am really looking forward to it",-7.27672927850789
"am so not looking forward to",-7.27672927850789
"am still trying to figure out",-7.56441135095967
"am trying to figure out what",-7.56441135095967
"an end of the year celebration",-7.56441135095967
"an increase in the number of",-7.56441135095967
"and a flat screen tv is",-7.56441135095967
"and all i have to do",-7.56441135095967
"and all this time i thought",-7.56441135095967
"and at the end of the",-6.87126417039972
"and be kind to one another",-7.56441135095967
"and by the end of the",-7.56441135095967
"and don't get me wrong i",-7.56441135095967
"and for the first time in",-7.27672927850789
"and have a vested interest in",-7.56441135095967
"and his father in law is",-7.56441135095967
"and hope to see you at",-7.56441135095967
"and i'm not a fan of",-7.56441135095967
"and i'm not just saying that",-7.56441135095967
"and i can't wait for the",-7.56441135095967
"and i can't wait to get",-7.27672927850789
"and i can't wait to see",-6.71711349057246
"and i don't know what to",-7.56441135095967
"and i get to go to",-7.56441135095967
"and i had no idea what",-7.56441135095967
"and i have a lot of",-7.56441135095967
"and i have been trying to",-7.56441135095967
"and i have to go to",-7.56441135095967
"and i have yet to find",-7.56441135095967
"and i like it that way",-7.56441135095967
"and i love you so much",-7.56441135095967
"and i smile every time i",-7.56441135095967
"and i thank you for your",-7.56441135095967
"and if you don't share it",-7.56441135095967
"and is a member of the",-7.56441135095967
"and it was so much fun",-7.56441135095967
"and let me know if you",-7.27672927850789
"and let me know what you",-7.05358572719368
"and let the chips fall where",-7.56441135095967
"and let us know what you",-7.05358572719368
"and salt and pepper if needed",-7.56441135095967
"and tell me what you think",-7.27672927850789
"and the terrible horrible no good",-7.56441135095967
"and this is a good thing",-7.56441135095967
"and yet there are times when",-7.56441135095967
"and you all know how i",-7.56441135095967
"and you can see that the",-7.56441135095967
"and you can use it to",-7.56441135095967
"another in a long line of",-7.56441135095967
"anxious about tomorrow for tomorrow will",-7.56441135095967
"anxious for itself sufficient for the",-7.56441135095967
"any questions please feel free to",-7.56441135095967
"anything i can do to help",-6.87126417039972
"anything you would like to see",-7.56441135095967
"anywhere in the world where would",-7.56441135095967
"appeals for the second circuit in",-7.56441135095967
"are going to be in a",-7.56441135095967
"are in the middle of the",-7.56441135095967
"are looking forward to another year",-7.56441135095967
"are not supposed to paralyze you",-7.56441135095967
"are two sides of the same",-7.56441135095967
"are we going to pay for",-7.56441135095967
"are you going to do another",-7.56441135095967
"around the back of his head",-7.56441135095967
"as far as i can tell",-6.87126417039972
"as far as i could tell",-7.56441135095967
"as fast as you can in",-7.56441135095967
"as good as it was last",-7.56441135095967
"as good as they're going to",-7.56441135095967
"as i thought it would be",-7.05358572719368
"as long as you get to",-7.56441135095967
"as many people as you can",-7.56441135095967
"as soon as possible so i",-7.56441135095967
"ashes to ashes dust to dust",-7.56441135095967
"ask when was the last time",-7.56441135095967
"at first i thought it was",-7.56441135095967
"at first you don't succeed try",-7.56441135095967
"at least as far as the",-7.56441135095967
"at least twice a week and",-7.56441135095967
"at some point during the day",-7.56441135095967
"at the beginning of the movie",-7.56441135095967
"at the beginning of the season",-7.56441135095967
"at the bottom of the list",-7.56441135095967
"at the end of a long",-7.56441135095967
"at the end of the day",-5.07950470117167
"at the end of the month",-6.36043854663373
"at the end of the night",-6.46579906229156
"at the end of the semester",-7.56441135095967
"at the end of the song",-7.56441135095967
"at the end of the tunnel",-7.05358572719368
"at the end of the week",-7.27672927850789
"at the end of the year",-6.36043854663373
"at the indiana state fair last",-7.56441135095967
"at the other end of the",-7.27672927850789
"at the university of north carolina",-7.27672927850789
"away for a few days for",-7.56441135095967
"back as soon as i can",-7.56441135095967
"back into the swing of things",-7.27672927850789
"be a part of it they",-7.56441135095967
"be able to get married and",-7.56441135095967
"be able to tell the difference",-7.56441135095967
"be anxious about tomorrow for tomorrow",-7.56441135095967
"be anxious for itself sufficient for",-7.56441135095967
"be careful what you wish for",-7.56441135095967
"be even better than the last",-7.56441135095967
"be grateful for what you have",-7.27672927850789
"be interesting to see what direction",-7.56441135095967
"be on the lookout for a",-7.56441135095967
"be on the safe side i",-7.56441135095967
"be one of the first to",-7.56441135095967
"be sure to check it out",-6.87126417039972
"be sure to check out the",-6.87126417039972
"be the center of the universe",-7.56441135095967
"be the change you wish to",-7.27672927850789
"be waiting for me when i",-7.56441135095967
"because i felt like i was",-7.27672927850789
"because i was a band geek",-7.56441135095967
"because the bible says it's wrong",-7.56441135095967
"been a long time since i",-7.05358572719368
"been on my to read list",-7.56441135095967
"been way too long since i've",-7.56441135095967
"best of luck to you and",-7.27672927850789
"between a man and a woman",-7.27672927850789
"blog so we can check it",-7.56441135095967
"bound to happen sooner or later",-7.56441135095967
"brought tears to my eyes a",-7.56441135095967
"but all i can do is",-7.56441135095967
"but at the end of the",-6.71711349057246
"but at the same time i",-7.27672927850789
"but i've never been one to",-7.56441135095967
"but i don't know if the",-7.56441135095967
"but i don't want to be",-7.56441135095967
"but i have no doubt that",-7.56441135095967
"but i have no plans to",-7.56441135095967
"but i like to think of",-7.56441135095967
"but i really don't want to",-7.27672927850789
"but i think i'd like to",-7.56441135095967
"but i think i needed to",-7.56441135095967
"but i think i want to",-7.56441135095967
"but if that's the worst thing",-7.56441135095967
"but if you really want to",-7.56441135095967
"but in order to do that",-7.56441135095967
"but it doesn't have to be",-7.27672927850789
"but it is what it is",-7.56441135095967
"but that didn't stop me from",-7.56441135095967
"but the devil is in the",-7.56441135095967
"but the man is an idiot",-7.56441135095967
"but then again i'm not the",-7.56441135095967
"by the end of the day",-6.87126417039972
"by the end of the month",-7.27672927850789
"by the end of the week",-6.58358209794794
"by the end of the weekend",-7.56441135095967
"by the end of the year",-7.05358572719368
"can't believe it's been a year",-7.56441135095967
"can't tell you how much i",-7.56441135095967
"can't wait to do it again",-7.27672927850789
"can't wait to get back to",-7.27672927850789
"can't wait to see what else",-7.56441135095967
"can't wait to share them with",-7.56441135095967
"can always be counted on to",-7.56441135095967
"can come from the most unlikely",-7.56441135095967
"can come true if we have",-7.56441135095967
"can come up with the best",-7.56441135095967
"can do for his children is",-7.56441135095967
"can only be found in the",-7.56441135095967
"caught up with me and i",-7.56441135095967
"centers for disease control and prevention",-7.27672927850789
"challenges are not supposed to paralyze",-7.56441135095967
"chance to win a pair of",-7.27672927850789
"change in the relationship between the",-7.56441135095967
"change the things i can and",-7.56441135095967
"change you wish to see in",-7.27672927850789
"christmas and happy new year and",-7.56441135095967
"close they were to success when",-7.56441135095967
"come to the conclusion that we",-7.56441135095967
"come true if we have the",-7.56441135095967
"could have bought a really nice",-7.56441135095967
"couldn't have been a more perfect",-7.56441135095967
"couldn't have said it better myself",-7.56441135095967
"couples should be able to get",-6.71711349057246
"courage to change the things i",-7.56441135095967
"court of appeals for the second",-7.56441135095967
"day from all of us at",-7.56441135095967
"day of the rest of my",-7.27672927850789
"day to all of the moms",-7.27672927850789
"democratic national committee chair debbie wasserman",-7.56441135095967
"details on how to make your",-7.56441135095967
"didn't think it was possible to",-7.56441135095967
"dignity of gays and lesbians in",-7.56441135095967
"do a better job of keeping",-7.27672927850789
"do i need to do to",-7.56441135095967
"do not be anxious about tomorrow",-7.56441135095967
"do the right thing for the",-7.56441135095967
"do what you have to do",-7.56441135095967
"do whatever it takes to make",-7.56441135095967
"do you have to be to",-7.56441135095967
"do you know who i am",-7.05358572719368
"do you want me to do",-7.27672927850789
"do you want to read about",-7.56441135095967
"does it take to get to",-7.56441135095967
"does that have to do with",-7.05358572719368
"doesn't get much better than this",-7.05358572719368
"don't even know what to do",-7.56441135095967
"don't even know where to begin",-7.56441135095967
"don't forget to check out my",-7.56441135095967
"don't get me wrong i love",-7.27672927850789
"don't got nothing to do with",-7.56441135095967
"don't know about you but i",-6.87126417039972
"don't know how i feel about",-7.27672927850789
"don't know how to do this",-7.56441135095967
"don't know if i can make",-7.56441135095967
"don't know if i could ever",-7.56441135095967
"don't know if i want to",-7.56441135095967
"don't know what else to say",-7.56441135095967
"don't know what it is but",-7.56441135095967
"don't know what to do next",-7.56441135095967
"don't know what to do with",-7.05358572719368
"don't know what to think about",-7.56441135095967
"don't know where to start i",-7.56441135095967
"don't let anyone tell you you",-7.56441135095967
"don't want to live in the",-7.56441135095967
"don't want to miss out on",-7.56441135095967
"don't want to think about that",-7.56441135095967
"each and every one of us",-7.56441135095967
"each and every one of you",-7.56441135095967
"editor of the news of the",-7.56441135095967
"end of the month but i",-7.56441135095967
"end of the spectrum is the",-7.56441135095967
"even know what to do anymore",-7.56441135095967
"every night before you go to",-7.56441135095967
"everyone that came out to the",-7.56441135095967
"excited to be a part of",-7.05358572719368
"fact of the matter is that",-7.56441135095967
"failures are people who did not",-7.56441135095967
"father can do for his children",-7.56441135095967
"feel free to check it out",-7.56441135095967
"figure out how to use the",-7.56441135095967
"find a way to get it",-7.56441135095967
"finished by the end of the",-7.27672927850789
"first day of school and i",-7.56441135095967
"first day of the rest of",-7.56441135095967
"first thing that came to my",-7.56441135095967
"first time in a long time",-6.87126417039972
"first time in my life i",-7.05358572719368
"first you don't succeed try try",-7.56441135095967
"for a chance to win a",-6.02396631001252
"for a minute or two then",-7.56441135095967
"for a while and i finally",-7.56441135095967
"for a while or until the",-7.56441135095967
"for an hour and a half",-6.87126417039972
"for being a good friend to",-7.56441135095967
"for giving me the opportunity to",-7.56441135095967
"for giving us such a great",-7.56441135095967
"for itself sufficient for the day",-7.56441135095967
"for me when i get home",-7.56441135095967
"for the better part of a",-7.05358572719368
"for the day is its own",-7.56441135095967
"for the first time i feel",-7.56441135095967
"for the first time in a",-6.26512836682941
"for the first time in months",-7.27672927850789
"for the first time in my",-6.87126417039972
"for the first time in the",-7.27672927850789
"for the first time in weeks",-7.56441135095967
"for the first time in years",-7.05358572719368
"for the first time it was",-7.56441135095967
"for the first time this year",-7.27672927850789
"for the last couple of days",-7.56441135095967
"for the life of me i",-6.87126417039972
"for the longest time but i",-7.56441135095967
"for the rest of his life",-7.56441135095967
"for the rest of my life",-6.02396631001252
"for the rest of the day",-6.46579906229156
"for the rest of the week",-7.27672927850789
"for the rest of the world",-7.56441135095967
"for the rest of the year",-6.87126417039972
"for the rest of their lives",-7.56441135095967
"for the rest of your life",-7.05358572719368
"for the second time this week",-7.27672927850789
"for those of you who have",-6.87126417039972
"for three days in a row",-7.56441135095967
"for tomorrow will be anxious for",-7.56441135095967
"for your chance to win an",-7.56441135095967
"friend is someone who knows all",-7.56441135095967
"front page of the new york",-7.56441135095967
"get a few hours of sleep",-7.56441135095967
"get anything done in this world",-7.56441135095967
"get back into the habit of",-7.56441135095967
"get back into the swing of",-7.56441135095967
"get in the way of my",-7.56441135095967
"get in the way of your",-7.56441135095967
"get ready to start my day",-7.56441135095967
"getting back into the swing of",-7.56441135095967
"getting government out of the way",-7.56441135095967
"give a shout out to the",-7.56441135095967
"glad to be rid of the",-7.56441135095967
"go all the way to the",-7.27672927850789
"go down as one of the",-7.56441135095967
"go out of their way to",-7.56441135095967
"god grant me the serenity to",-7.56441135095967
"god has placed in your life",-7.56441135095967
"going back to the drawing board",-7.56441135095967
"going from failure to failure without",-7.56441135095967
"going on in my life right",-7.27672927850789
"going to be a good one",-7.56441135095967
"going to be a lot of",-7.27672927850789
"going to be able to go",-7.56441135095967
"going to be able to look",-7.56441135095967
"going to be one of the",-7.27672927850789
"going to have a lot of",-7.56441135095967
"going to have so much fun",-7.56441135095967
"going to have to find a",-7.56441135095967
"going to make it to the",-7.27672927850789
"going to spend the rest of",-7.27672927850789
"going to take a lot of",-7.27672927850789
"going to try to make it",-7.56441135095967
"gonna be here for a while",-7.56441135095967
"good friend of mine who is",-7.56441135095967
"good weekend was had by all",-7.56441135095967
"grant me the serenity to accept",-7.56441135095967
"had a great time working on",-7.56441135095967
"had anything to do with it",-7.05358572719368
"had no idea what i was",-7.56441135095967
"had nothing to do with the",-7.27672927850789
"had something to do with the",-7.27672927850789
"had such a great time with",-7.56441135095967
"happy holidays from all of us",-7.56441135095967
"happy mother's day from all of",-7.27672927850789
"happy mothers day to all of",-7.56441135095967
"happy mothers day to all the",-6.46579906229156
"happy with how they turned out",-7.56441135095967
"hard for me to keep up",-7.56441135095967
"hard for me to talk about",-7.56441135095967
"has a lot to do with",-7.56441135095967
"has been a few days since",-7.56441135095967
"has been and continues to be",-7.56441135095967
"has nothing to do with the",-7.56441135095967
"have a feeling that is going",-7.56441135095967
"have a long way to go",-6.87126417039972
"have a lot of catching up",-7.56441135095967
"have a lot of free time",-7.56441135095967
"have a lot of work to",-7.27672927850789
"have a lot to be happy",-7.56441135095967
"have a love hate relationship with",-7.05358572719368
"have always wanted to be a",-7.56441135095967
"have any questions please feel free",-7.56441135095967
"have been eliminated from the playoffs",-7.56441135095967
"have been for a while now",-7.56441135095967
"have no idea how many times",-7.56441135095967
"have no idea how much i",-7.27672927850789
"have no idea what i am",-7.56441135095967
"have no idea where to go",-7.56441135095967
"have to find a way to",-7.56441135095967
"have to go back to the",-7.27672927850789
"have to go to school and",-7.56441135095967
"have to go to work and",-7.56441135095967
"have to learn the hard way",-7.56441135095967
"he said he wanted to make",-7.56441135095967
"he was one of the most",-7.56441135095967
"hear from you what do you",-7.56441135095967
"here in a couple of weeks",-7.56441135095967
"hey aren't you supposed to be",-7.27672927850789
"him in the head with a",-7.56441135095967
"hit in the head with a",-7.56441135095967
"hit the nail on the head",-7.05358572719368
"home to see my family and",-7.56441135095967
"hope everyone had a great weekend",-7.27672927850789
"hope everyone is enjoying their weekend",-7.56441135095967
"hope to see you at the",-6.46579906229156
"hope you all had a great",-6.87126417039972
"hope you all had a wonderful",-7.27672927850789
"hope you all have a fantastic",-7.56441135095967
"hope you all have a great",-6.71711349057246
"hope you are all having a",-7.27672927850789
"hope you had a wonderful time",-7.56441135095967
"hope you have a great day",-6.71711349057246
"hope you have a great weekend",-6.71711349057246
"horrible no good very bad day",-7.56441135095967
"how are we going to pay",-7.56441135095967
"how close they were to success",-7.56441135095967
"how long did it take to",-7.56441135095967
"how long have you been playing",-7.56441135095967
"how lucky i am to have",-7.56441135095967
"how many licks does it take",-7.56441135095967
"how to get the best out",-7.56441135095967
"how you do what you do",-7.56441135095967
"i'd love to be able to",-7.27672927850789
"i'd love to work with you",-7.56441135095967
"i'll keep an eye out for",-7.56441135095967
"i'll let you know when i",-7.56441135095967
"i'm a big fan of the",-7.27672927850789
"i'm afraid this is going to",-7.56441135095967
"i'm amazed at the amount of",-7.56441135095967
"i'm excited to announce that i",-7.56441135095967
"i'm going to make the best",-7.56441135095967
"i'm going to tell you to",-7.56441135095967
"i'm going to watch a movie",-7.56441135095967
"i'm looking forward to reading it",-7.27672927850789
"i'm not a big fan of",-7.27672927850789
"i'm not a fan of the",-7.27672927850789
"i'm not the only one who",-7.05358572719368
"i'm trying to say is i",-7.56441135095967
"i'm very happy with how they",-7.56441135095967
"i've been thinking a lot about",-7.56441135095967
"i've been thinking about it and",-7.56441135095967
"i've come to the conclusion that",-7.56441135095967
"i've had in a long time",-7.56441135095967
"i am a big fan of",-7.27672927850789
"i am going to try to",-7.05358572719368
"i am happy to say i",-7.56441135095967
"i am looking forward to the",-7.56441135095967
"i am not alone in this",-7.56441135095967
"i am not going to be",-7.27672927850789
"i am not sure if even",-7.56441135095967
"i am not the only one",-7.27672927850789
"i am now a huge fan",-7.56441135095967
"i am on my way to",-7.56441135095967
"i am one of those people",-7.56441135095967
"i am really looking forward to",-6.87126417039972
"i am so happy that i",-7.56441135095967
"i am so not looking forward",-7.27672927850789
"i am still trying to figure",-7.56441135095967
"i am the only one who",-7.56441135095967
"i am trying to figure out",-7.56441135095967
"i am very fortunate to have",-7.56441135095967
"i can't help but think about",-7.56441135095967
"i can't help but think of",-7.27672927850789
"i can't remember the last time",-7.56441135095967
"i can't tell you how much",-7.56441135095967
"i can't wait to see how",-7.56441135095967
"i can't wait to see the",-6.87126417039972
"i can't wait to see what",-6.71711349057246
"i can't wait to see you",-6.36043854663373
"i can't wait to share them",-7.56441135095967
"i can't wait to take a",-7.56441135095967
"i can come up with is",-7.56441135095967
"i can do it anyone can",-7.56441135095967
"i can say is that i",-7.56441135095967
"i can tell the difference i",-7.56441135095967
"i can tell you is that",-7.27672927850789
"i could get a picture of",-7.56441135095967
"i could go back in time",-7.56441135095967
"i decided it was time to",-7.27672927850789
"i decided to check out the",-7.56441135095967
"i didn't get a chance to",-7.27672927850789
"i didn't realize how much i",-7.56441135095967
"i didn't think it was possible",-7.27672927850789
"i do not want to see",-7.56441135095967
"i don't care what they say",-7.56441135095967
"i don't care what you say",-7.56441135095967
"i don't even know what that",-7.27672927850789
"i don't even know what to",-7.27672927850789
"i don't even know where to",-7.05358572719368
"i don't even remember when i",-7.56441135095967
"i don't have to deal with",-7.56441135095967
"i don't have to go to",-7.27672927850789
"i don't have to worry about",-7.27672927850789
"i don't know about you but",-6.17811698983978
"i don't know how many times",-7.05358572719368
"i don't know how to be",-7.56441135095967
"i don't know how to do",-7.27672927850789
"i don't know if i can",-7.05358572719368
"i don't know if i want",-7.56441135095967
"i don't know if this is",-7.56441135095967
"i don't know what else to",-7.27672927850789
"i don't know what it is",-6.87126417039972
"i don't know what to do",-6.71711349057246
"i don't know what to say",-7.56441135095967
"i don't know what to think",-7.56441135095967
"i don't know who you are",-7.56441135095967
"i don't like it when my",-7.56441135095967
"i don't think i've had this",-7.56441135095967
"i don't think i can do",-7.56441135095967
"i don't think i can stand",-7.56441135095967
